id,name,breed,age,route,weight_lbs,pack_capacity_lbs,trips_completed,certification_level,years_experience,health_score,temperament,last_trip_date,days_rested,preferred_terrain,daily_rate,total_revenue_ytd,customer_rating,maintenance_cost_ytd,miles_ytd,elevation_gain_ytd
1,Buttercup,Alpine,2,1,142,38,45,Intermediate,1,9,Calm,2026-01-25,3,Valley,28,840,4.6,320,180,9000
2,Clover,Alpine,3,1,155,42,89,Advanced,2,8,Friendly,2026-01-27,1,Valley,35,1225,4.8,380,356,17800
3,Daisy,Alpine,4,2,162,45,124,Advanced,3,8,Hardy,2026-01-24,4,Mountain,42,1680,4.5,420,620,46500
4,Rosie,Alpine,5,3,168,48,178,Expert,4,7,Adaptable,2026-01-26,2,Alpine,52,2340,4.7,480,1068,96120
5,Poppy,Alpine,2,1,138,36,38,Intermediate,1,9,Friendly,2026-01-23,5,Valley,26,728,4.4,310,152,7600
6,Luna,Alpine,3,1,151,41,76,Advanced,2,9,Calm,2026-01-28,0,Valley,34,1088,4.9,350,304,15200
7,Stella,Alpine,4,2,159,44,118,Advanced,3,8,Hardy,2026-01-22,6,Mountain,41,1558,4.6,410,590,44250
8,Hazel,Alpine,5,3,165,47,165,Expert,4,7,Adaptable,2026-01-27,1,Alpine,50,2250,4.5,490,990,89100
9,Ruby,Alpine,6,3,170,49,210,Expert,5,6,Hardy,2026-01-25,3,Alpine,55,2750,4.8,540,1260,113400
10,Willow,Alpine,3,1,148,40,82,Advanced,2,8,Calm,2026-01-26,2,Valley,33,1056,4.7,360,328,16400
11,Maple,Alpine,4,2,160,44,115,Advanced,3,9,Friendly,2026-01-24,4,Mountain,40,1520,4.6,400,575,43125
12,Sage,Alpine,5,3,166,47,172,Expert,4,7,Hardy,2026-01-28,0,Alpine,51,2193,4.4,485,1032,92880
13,Ivy,Alpine,2,1,140,37,42,Intermediate,1,9,Adaptable,2026-01-27,1,Valley,27,810,4.5,315,168,8400
14,Fern,Alpine,3,1,153,41,85,Advanced,2,8,Calm,2026-01-25,3,Valley,34,1156,4.8,370,340,17000
15,Basil,Alpine,4,2,158,43,121,Advanced,3,8,Hardy,2026-01-23,5,Mountain,41,1599,4.5,415,605,45375
16,Mint,Alpine,5,3,167,48,168,Expert,4,8,Friendly,2026-01-26,2,Alpine,51,2244,4.7,470,1008,90720
17,Thyme,Alpine,6,3,169,49,205,Expert,5,6,Adaptable,2026-01-24,4,Alpine,54,2700,4.6,535,1230,110700
18,Parsley,Alpine,3,1,150,40,78,Advanced,2,9,Calm,2026-01-28,0,Valley,33,1023,4.9,355,312,15600
19,Rosemary,Alpine,4,2,161,45,119,Advanced,3,8,Hardy,2026-01-27,1,Mountain,42,1596,4.5,405,595,44625
20,Lavender,Alpine,5,3,164,46,175,Expert,4,7,Friendly,2026-01-25,3,Alpine,50,2275,4.8,495,1050,94500
21,Jasmine,Alpine,2,1,139,37,40,Intermediate,1,10,Calm,2026-01-26,2,Valley,27,783,4.6,305,160,8000
22,Violet,Alpine,3,1,152,41,81,Advanced,2,8,Friendly,2026-01-24,4,Valley,34,1107,4.7,365,324,16200
23,Lily,Alpine,4,2,157,43,116,Advanced,3,9,Hardy,2026-01-22,6,Mountain,40,1520,4.4,395,580,43500
24,Rose,Alpine,5,3,166,47,170,Expert,4,7,Adaptable,2026-01-27,1,Alpine,51,2210,4.6,485,1020,91800
25,Daisy2,Alpine,6,3,168,48,198,Expert,5,6,Calm,2026-01-25,3,Alpine,53,2597,4.8,530,1188,106920
26,Tulip,Alpine,3,1,149,40,74,Intermediate,2,9,Friendly,2026-01-28,0,Valley,32,960,4.9,345,296,14800
27,Orchid,Alpine,4,2,160,44,122,Advanced,3,8,Hardy,2026-01-26,2,Mountain,41,1599,4.5,410,610,45750
28,Peony,Alpine,5,3,165,47,169,Expert,4,8,Adaptable,2026-01-24,4,Alpine,50,2197,4.7,475,1014,91260
29,Zinnia,Alpine,2,1,141,38,44,Intermediate,1,9,Calm,2026-01-23,5,Valley,28,812,4.4,320,176,8800
30,Marigold,Alpine,3,1,154,42,88,Advanced,2,8,Friendly,2026-01-27,1,Valley,35,1190,4.8,375,352,17600
31,Thunder,Nubian,4,3,215,58,135,Advanced,3,8,Energetic,2026-01-26,2,Alpine,48,1920,4.5,520,810,72900
32,Lightning,Nubian,5,3,228,62,182,Expert,4,7,Vocal,2026-01-28,0,Alpine,56,2520,4.7,580,1092,98280
33,Storm,Nubian,6,3,242,66,225,Expert,5,6,Energetic,2026-01-25,3,Alpine,62,3100,4.8,640,1350,121500
34,Blaze,Nubian,4,3,218,59,138,Advanced,3,8,Vocal,2026-01-24,4,Alpine,49,1960,4.4,525,828,74520
35,Rocket,Nubian,5,3,232,63,188,Expert,4,7,Energetic,2026-01-27,1,Alpine,57,2622,4.6,590,1128,101520
36,Titan,Nubian,6,3,245,67,230,Expert,5,6,Strong,2026-01-26,2,Alpine,63,3213,4.9,650,1380,124200
37,Atlas,Nubian,4,3,220,60,140,Advanced,3,9,Vocal,2026-01-23,5,Alpine,49,2009,4.5,515,840,75600
38,Hercules,Nubian,5,3,235,64,185,Expert,4,7,Energetic,2026-01-28,0,Alpine,58,2610,4.7,595,1110,99900
39,Zeus,Nubian,6,3,248,68,235,Expert,5,7,Strong,2026-01-25,3,Alpine,64,3328,4.8,620,1410,126900
40,Apollo,Nubian,4,3,212,57,132,Advanced,3,8,Vocal,2026-01-27,1,Alpine,47,1880,4.6,510,792,71280
